timestamp,price,market_cap,total_volume,date,coin
1770552265741,88.11543522835824,49993882369.6127,4089830567.64013,2026-02-08 12:04:25.741,solana
1770555888965,88.03738548170953,49941162866.05554,3904911751.0031276,2026-02-08 13:04:48.965,solana
1770559447219,88.4029516070266,50160121554.36335,4062879831.9939365,2026-02-08 14:04:07.219,solana
1770562996307,88.28551593997045,50084893794.50539,3946884463.3642006,2026-02-08 15:03:16.307,solana
1770566652742,87.62350307113813,49719573808.92472,4003301622.0710325,2026-02-08 16:04:12.742,solana
1770570235322,86.19523982845804,48914592184.4318,3164872340.2250566,2026-02-08 17:03:55.322,solana
1770573799610,86.87476364710065,49280461585.698166,3061388461.472183,2026-02-08 18:03:19.610,solana
1770577441766,87.92798209951748,49925349428.55085,3132758883.521004,2026-02-08 19:04:01.766,solana
1770581056999,88.35891038963699,50125945199.966835,3019376431.8444486,2026-02-08 20:04:16.999,solana
1770584631301,86.93215831625471,49360102871.16551,3087415523.3697686,2026-02-08 21:03:51.301,solana
1770588220998,86.49921360393581,49050129326.40412,3072271254.101747,2026-02-08 22:03:40.998,solana
1770591789245,86.99143239728143,49354932303.34188,3080893122.897097,2026-02-08 23:03:09.245,solana
1770595439446,87.11390635274802,49432487078.29219,3363491978.189641,2026-02-09 00:03:59.446,solana
1770599044557,86.92407096588616,49278718797.074875,3343040156.2440147,2026-02-09 01:04:04.557,solana
1770602538778,86.34270430646397,48984042417.76168,3423436578.066022,2026-02-09 02:02:18.778,solana
1770606272818,87.09937342118661,49420419509.523094,3532710462.74721,2026-02-09 03:04:32.818,solana
1770609826581,87.57678082051082,49721158638.517105,3539691652.5690846,2026-02-09 04:03:46.581,solana
1770613457754,87.0256818639857,49379304740.688,3536328144.068607,2026-02-09 05:04:17.754,solana
1770617071049,87.1321548254401,49438508130.01461,3546600662.3387346,2026-02-09 06:04:31.049,solana
1770620580799,86.36973271511219,49011769807.57604,3661460357.897137,2026-02-09 07:03:00.799,solana
1770624284385,85.44933416447554,48501826791.82922,3686276867.7240653,2026-02-09 08:04:44.385,solana
1770627888408,84.50013831212915,47960817096.89097,3810892177.008018,2026-02-09 09:04:48.408,solana
1770631445051,84.14717783555359,47707481109.94592,3858292487.2671537,2026-02-09 10:04:05.051,solana
1770635019885,83.19917710887798,47191815711.04386,3839041363.030093,2026-02-09 11:03:39.885,solana
1770638632123,83.34029893030832,47278064034.60255,3832635655.6136622,2026-02-09 12:03:52.123,solana
1770642179652,83.97893515662155,47677202316.49496,3827853952.479255,2026-02-09 13:02:59.652,solana
1770645630235,83.83623426850583,47573670315.94172,3837196101.028693,2026-02-09 14:00:30.235,solana
1770649484120,84.91594420374497,48143993527.50467,3993180644.2502584,2026-02-09 15:04:44.120,solana
1770653061908,85.24024871862959,48388132557.227776,4036190659.144871,2026-02-09 16:04:21.908,solana
1770656647373,86.14740815402759,48949783198.67398,4096543089.2380633,2026-02-09 17:04:07.373,solana
1770660033348,87.6949730119045,49758793605.47716,4324380869.574193,2026-02-09 18:00:33.348,solana
1770663826330,87.44162698118431,49626354196.70031,4506796311.287168,2026-02-09 19:03:46.330,solana
1770667416500,87.92147825424858,49902314272.65823,4521389151.8544445,2026-02-09 20:03:36.500,solana
1770671059215,87.7055336661161,49760872888.80792,4599003896.774201,2026-02-09 21:04:19.215,solana
1770674601026,87.18933653283004,49436862299.68538,4746758392.398651,2026-02-09 22:03:21.026,solana
1770678205611,87.05805922287414,49402915081.25488,4647352558.645537,2026-02-09 23:03:25.611,solana
1770681834023,86.71049947509118,49214264988.87675,4385623090.581994,2026-02-10 00:03:54.023,solana
1770685434229,86.36767742873677,49016582238.83982,4352272770.494838,2026-02-10 01:03:54.229,solana
1770689051696,87.19180754621965,49492420698.62269,4250458444.2961955,2026-02-10 02:04:11.696,solana
1770692612891,86.58526519053721,49132499426.04572,4177649168.394304,2026-02-10 03:03:32.891,solana
1770696179802,85.72478045950606,48638658151.56972,4215720228.6559453,2026-02-10 04:02:59.802,solana
1770699779894,86.49096785954369,49061193867.20383,4233506506.765372,2026-02-10 05:02:59.894,solana
1770703378603,85.80418714593574,48684444481.014175,4302258713.84897,2026-02-10 06:02:58.603,solana
1770707001978,84.53320831868086,47962749241.69149,4317900882.613648,2026-02-10 07:03:21.978,solana
1770710550739,84.52901863507483,47966845878.746704,4297764220.261461,2026-02-10 08:02:30.739,solana
1770714182981,84.57242049134564,48002867865.9913,4125047317.9712224,2026-02-10 09:03:02.981,solana
1770717786268,84.49227329636291,47955374979.25001,4107360370.533616,2026-02-10 10:03:06.268,solana
1770721346072,84.1800990772947,47777290731.77176,3943549046.851028,2026-02-10 11:02:26.072,solana
1770725024478,83.8341755215754,47586347123.76383,3979376162.857382,2026-02-10 12:03:44.478,solana
1770728580172,83.90383610290951,47628681003.36492,3937167418.578596,2026-02-10 13:03:00.172,solana
1770732179920,84.56662372173173,47987885089.42868,3981121976.992628,2026-02-10 14:02:59.920,solana
1770735758853,83.71360950554718,47513002573.312355,4055633041.2020087,2026-02-10 15:02:38.853,solana
